# {"t_start": 1606637091.7907522, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
581.702316,1000,18.537475
567.014279,1000,36.116826
570.673518,1000,53.386796
562.322018,1000,71.118016
592.997627,1000,88.703884
585.612811,1000,106.919339
623.290495,1000,124.37228
583.915696,1000,141.854347
560.395109,1000,159.225457
583.51769,1000,176.491537
591.122327,1000,193.924248
577.575181,1000,211.190009
586.315643,1000,228.47362
589.039785,1000,245.989057
591.363739,1000,263.523072
585.875587,1000,280.877236
583.857666,1000,298.406979
591.396993,1000,315.758592
610.857582,1000,333.093258
582.511436,1000,350.376667
585.889352,1000,367.547698
577.57474,1000,384.82478
588.380585,1000,402.228256
574.263456,1000,419.595898
585.989947,1000,436.994816
567.069626,1000,454.363011
561.434812,1000,471.995905
589.838039,1000,489.596018
590.546876,1000,507.031904
586.238037,1000,524.6157
556.236484,1000,542.201298
580.18725,1000,559.930737
576.42294,1000,577.717416
585.410162,1000,595.471275
557.012477,1000,613.188666
629.189628,1000,630.657724
589.856569,1000,648.477574
569.574484,1000,666.208789
652.469903,1000,683.930237
560.768094,1000,701.731582
589.906195,1000,719.636899
639.429427,1000,737.986676
587.847867,1000,757.637038
650.482568,1000,776.141636
583.589189,1000,794.742371
607.446133,1000,813.516832
582.732827,1000,832.870541
582.199262,1000,852.290018
581.840698,1000,870.359478
589.116183,1000,888.246942
581.958805,1000,907.167984
590.101674,1000,925.215813
587.289903,1000,942.932933
580.333189,1000,960.397752
584.936234,1000,978.485249
627.156275,1000,997.369342
589.374265,1000,1016.047751
575.601441,1000,1034.927935
587.83054,1000,1053.712262
590.75792,1000,1071.45271
585.023188,1000,1090.115797
587.674498,1000,1108.755553
657.192597,1000,1127.757434
580.216569,1000,1146.64609
582.853744,1000,1165.517489
586.083607,1000,1183.731273
572.914718,1000,1201.767842
553.584775,1000,1220.575151
538.917856,1000,1239.407022
629.513566,1000,1258.063707
607.778435,1000,1276.600992
649.514302,1000,1295.382415
646.609507,1000,1313.536016
591.705029,1000,1332.004035
650.264219,1000,1350.489398
586.619444,1000,1368.274325
575.040649,1000,1386.177526
569.263018,1000,1405.738251
588.954943,1000,1425.429322
576.478959,1000,1446.780993
616.746046,1000,1469.327629
587.860529,1000,1492.441753
657.690275,1000,1514.984386
576.890652,1000,1537.325884
651.419628,1000,1556.808821
594.786241,1000,1575.394895
611.639417,1000,1593.020983
586.897435,1000,1610.680788
577.905199,1000,1628.369717
558.857253,1000,1646.117098
593.452296,1000,1664.322875
550.055865,1000,1682.543165
590.697232,1000,1700.453054
640.615083,1000,1717.687097
585.295396,1000,1735.139843
571.309159,1000,1752.271679
584.118155,1000,1769.169644
558.569177,1000,1786.070294
573.377439,1000,1803.003601
582.135791,1000,1820.099495
